id,release,order_num,title,length
0,0,0,Slovanskega naroda sin,346
1,0,1,Tanz mit uns,186
2,0,2,Pot v F(X),204
3,0,3,Vladimir,250
4,0,4,Fantastičnih 5,198
5,0,5,Levi pas,259
6,0,6,Ježek,14
7,0,7,Medvedi,272
8,0,8,Zakon Đungle - Zekobluz,234
9,0,9,Vaška mafija,229
10,0,10,Mati nas pretepa,198
11,0,11,Lipe cvetejo,137
12,0,12,Nič (petminutni),302
13,0,13,Komercialne pizde (skriti komad),296
14,0,14,Lovehalla,198
15,1,0,21st Century Schizoid Man (including Mirrors),444
16,1,1,I Talk To The Wind,360
17,1,2,Epitaph (including March For No Reason and Tomorrow And Tomorrow),532
18,1,3,Moonchild (including The Dream and The Illusion),542
19,1,4,The Court Of The Crimson King (including The Return Of The Fire Witch and The Dance Of The Puppets),571
